ID,Label,Farm,DOC,Type,Month,Year,Date,Conductivity (µs),Ammonium (NH4) ,NH4-N (mg/L),Nitrate (NO3),NO3-N (mg/L), Nitrite (NO2),NO2-N (mg/L), Phosphate (mg/L),Sodium (mg/L) ,Chloride (mg/L),Calcium (mg/L),DOC (mg/L),TOC (mg/L),TC (F),TC (UF),IC (F),IC (UF),TN (F),TN (UF),Particle size (µm),Absorbance (254 nm)
1,INKOMMAND 3/7-24,Karlskoga,07/03/2024,Inlet,July ,2024,Jul-24,171.0000,0.0158,0.2212,0.0240,0.3360,n.a.,0.0000,n.a.,0.2231,0.1843,0.4165,2.1440,0.7239,21.9200,21.0400,19.7800,20.3200,0.2389,0.1132,1.0346,0.1200
2,UTOPP 3/7-24,Karlskoga,07/03/2024,Outlet,July ,2024,Jul-24,277.0000,0.0194,0.2716,0.1560,2.1840,n.a.,0.0000,n.a.,0.9833,1.0421,0.3819,3.8970,2.3960,19.5500,18.6400,15.6500,16.2500,2.8270,2.6950,0.7476,0.0457
7,19/7 Hall 11C,Karlskoga,07/19/2024,Tank,July ,2024,Jul-24,191.0000,0.0085,0.1190,0.0240,0.3360,n.a.,0.0000,n.a.,0.3642,0.2087,0.4952,2.3850,1.6200,25.1800,24.8200,22.8000,23.2000,0.1239,0.1462,0.2185,0.0594
8,Blå C 19/7 10C,Karlskoga,07/19/2024,Tank,July ,2024,Jul-24,177.0000,0.0276,0.3864,0.0400,0.5600,0.0222,0.3108,n.a.,0.1649,0.2051,0.3290,3.3080,3.3390,22.7500,23.1100,19.4400,19.7700,1.0960,1.0660,0.2014,0.0550
9,M.D 19/7 8C,Karlskoga,07/19/2024,Tank,July ,2024,Jul-24,289.0000,0.0327,0.4578,0.0310,0.4340,n.a.,0.0000,0.0268,0.2597,0.3415,0.5408,4.4810,3.8930,36.6200,36.3100,32.1400,32.4100,2.7790,2.6920,0.2489,0.1703
22,5/8 Blå C ,Karlskoga,08/05/2024,Tank,August,2024,Aug-24,181.0000,0.0321,0.4494,0.0290,0.4060,n.a.,0.0000,n.a.,0.1786,0.2084,0.3283,3.1140,2.4260,22.8800,22.4300,19.7600,20.0100,0.9056,0.8158,0.2045,0.0418
23,M1 5/8,Karlskoga,08/05/2024,Tank,August,2024,Aug-24,173.0000,0.0150,0.2100,0.0260,0.3640,n.a.,0.0000,n.a.,0.0815,0.1085,0.1461,3.5580,3.4340,12.6000,12.7000,9.0380,9.2650,0.7970,0.7503,0.2186,0.2718
24,5/8 Blå B ,Karlskoga,08/05/2024,Tank,August,2024,Aug-24,189.0000,0.0448,0.6272,0.0240,0.3360,n.a.,0.0000,n.a.,0.2152,0.2092,0.3504,2.2250,0.9348,23.1700,22.3000,20.9400,21.3600,0.2657,0.2340,0.1893,0.2338
27,3/9 Blå A efter san. ,Karlskoga,09/03/2024,Tank,September ,2024,Sep-24,182.0000,0.0356,0.4984,0.0240,0.3360,n.a.,0.0000,n.a.,0.1825,0.2051,0.3458,2.5780,1.6530,23.0400,22.3500,20.4600,20.7000,0.1223,0.1043,0.2433,0.0466
36,Inlopp hallen 24/9,Karlskoga,09/24/2024,Inlet,September ,2024,Sep-24,174.0000,0.0347,0.4858,0.0270,0.3780,n.a.,0.0000,n.a.,0.1829,0.2020,0.3791,2.4100,0.9312,22.8000,21.6400,20.3700,20.7000,0.1168,0.1020,0.3692,n.a.
